epoch,lr,pe,pf,train_loss,train_eRMSE,train_fRMSE,val_loss,val_eRMSE,val_fRMSE
1,0.002,1.0,10.0,158008.3832289806,397.33551770438737,1.1642015721600678,140876.64002946415,375.3181559676561,1.1307948443856
2,0.002,1.0,10.0,117686.66455821386,342.4398435379807,1.1646283965470294,93589.87763914584,305.9035081829268,1.1314251737812526
3,0.002,1.0,10.0,72936.33622014265,269.2569267286413,1.1644093871976267,55418.37817694277,235.3836381298062,1.1278113645416556
4,0.002,1.0,10.0,42812.449282120826,204.9527210966544,1.6298914561112892,17961.85663842786,133.97367877380125,1.1306501730005385
5,0.002,1.0,10.0,8447.817811435543,88.62110306974635,1.163790209427467,2616.826179768379,51.02857063881219,1.128583543832949
6,0.002,1.0,10.0,989.8521826873169,29.33377258975293,1.1640080518345888,203.41553086765262,13.802427939768464,1.1300450546329686
7,0.002,1.0,10.0,73.21752476553138,7.033169947352949,1.1631399689347466,20.452684006993262,2.7475196706585705,1.1287401624122633
8,0.00196,1.0,9.82,15.626744327590153,1.2659792698026948,1.1632201289900534,12.84376471521139,0.4242570325392251,1.131075296959248
9,0.00196,1.0,9.82,13.49056693667681,0.18255996216531023,1.1626311149859445,12.64172593200115,0.06253524844676382,1.1269958380190988
10,0.00196,1.0,9.82,13.345291307696705,0.041665708743007936,1.156740443921147,12.416754008225748,0.055680238021251854,1.1190103632933184
11,0.00196,1.0,9.82,12.919777501299809,0.07219393018227417,1.1390033460296691,12.094667798074699,0.05921908837298998,1.1032674775037665
12,0.00196,1.0,9.82,12.716831748311115,0.05872710439868822,1.1287399388544432,12.137634277647772,0.08307739704049812,1.1043436966333111
13,0.00196,1.0,9.82,12.667278981847534,0.047256753215751346,1.1273918852397373,12.015105725475262,0.05408856704393657,1.1007883040964466
14,0.00196,1.0,9.82,12.598257191590035,0.0261568779031537,1.1251407235146618,11.826823983505344,0.02271314254721646,1.094488877395037
15,0.00196,1.0,9.82,12.236216189493836,0.02904794069917541,1.1086358660804563,11.762733679818616,0.04418763442808584,1.0877836311802906
16,0.0019207999999999999,1.0,9.6436,12.216515543751514,0.13118161145652527,1.1150911911763663,10.466973338576729,0.02414881972182865,1.0344890585963453
17,0.0019207999999999999,1.0,9.6436,11.13649407878878,0.030176599449653074,1.0668927450067713,10.658287109979005,0.022463942814905876,1.047541261128101
18,0.0019207999999999999,1.0,9.6436,11.913942513290126,0.13973784071037465,1.1005186456874012,10.232886710892057,0.06966340202935209,1.0247549290559916
19,0.0019207999999999999,1.0,9.6436,10.600147650783857,0.06624307477748115,1.0416194153945297,9.726501888707725,0.14146910965262863,1.000077845953084
20,0.0019207999999999999,1.0,9.6436,10.264246398685993,0.08254320201060525,1.0234242934051294,10.897879064980833,0.2215149706907411,1.0552381843466971
21,0.0019207999999999999,1.0,9.6436,10.180369028772704,0.12292070956949155,1.0193765344711503,8.922692130919213,0.06271660587484366,0.9555758869881015
22,0.0019207999999999999,1.0,9.6436,9.460269460405787,0.06688270348397488,0.9839150560953578,8.533373879344389,0.06260571103520207,0.935558419973973
23,0.001882384,1.0,9.470728,9.398921331306179,0.09174916075591319,0.9831810461146442,8.747431072783957,0.3097792114727113,0.9490824995865371
24,0.001882384,1.0,9.470728,9.326840973664536,0.10941263815706577,0.9831340123793127,7.811161582907562,0.03198168034783787,0.9029141794951033
25,0.001882384,1.0,9.470728,8.832007851069573,0.06511428395083302,0.9589689627492005,7.807103151885149,0.08645621722885212,0.9012280752125086
26,0.001882384,1.0,9.470728,8.256101193458552,0.051909473219136866,0.9265337289840088,7.184992667537826,0.01633425150458554,0.8649294650768803
27,0.001882384,1.0,9.470728,7.86458980787423,0.06237029200235334,0.9029197383699952,7.062615668044465,0.04792456715693956,0.856914269646556
28,0.001882384,1.0,9.470728,7.475762444933557,0.07769490527847749,0.8807296470300402,6.622563304987727,0.02078379273577381,0.8298142759880132
29,0.001882384,1.0,9.470728,7.360976091262132,0.09002895866320645,0.8725306206537914,6.09553752236219,0.05970892830641801,0.7943233821473923
30,0.001882384,1.0,9.470728,7.174431154704239,0.07795391581881,0.8621200137797199,6.295287319993824,0.05791835840186744,0.8121595535191958
31,0.00184473632,1.0,9.30131344,6.682810779128682,0.08002803884689566,0.8395404872500414,5.774213685993929,0.046711398824456705,0.7825432891463632
32,0.00184473632,1.0,9.30131344,7.233306193213465,0.16701439741183813,0.8669463266433772,6.6760457216604525,0.2836013707092562,0.8349220246312383
33,0.00184473632,1.0,9.30131344,6.347639981295404,0.11398132163098637,0.8172877410924179,5.069381517237822,0.09390179263997275,0.7316251966177973
34,0.00184473632,1.0,9.30131344,5.788694582618557,0.07843274544927499,0.7795305678717986,5.245655101136229,0.03704056101009345,0.7450570652745039
35,0.00184473632,1.0,9.30131344,5.577248336039134,0.1376557207498875,0.7630968351500718,4.529902010864273,0.06398380303912499,0.691800639602167
36,0.00184473632,1.0,9.30131344,5.282437396377284,0.11551521022632386,0.7437210250444124,4.1056918160217,0.03497826058397528,0.6573997559868608
37,0.00184473632,1.0,9.30131344,4.842001258289239,0.10271085718844127,0.7141301909509494,3.8611808625395274,0.041186374561960795,0.6413085956748225
38,0.0018078415935999998,1.0,9.1352871712,4.45710586835149,0.15833907229536265,0.6852687376366039,3.727045847266152,0.02950868576316634,0.6362105336670516
39,0.0018078415935999998,1.0,9.1352871712,4.313270990069808,0.09999138713107443,0.6797241766964534,5.217126775526973,0.1731499511203645,0.7511280606267202
40,0.0018078415935999998,1.0,9.1352871712,5.522972435735735,0.20221010822156324,0.7361184559098739,10.049289719140045,0.27089055931353584,1.040084324525091
41,0.0018078415935999998,1.0,9.1352871712,7.3443174788931165,0.13274075019603482,0.8803423515165089,4.502156937111545,0.07737996090744312,0.6980883747229925
42,0.0018078415935999998,1.0,9.1352871712,4.801241791000407,0.09071003165626386,0.7119083594078642,3.8540535908594133,0.03432059370624548,0.6459609202902847
43,0.0018078415935999998,1.0,9.1352871712,3.7266600813462496,0.08715599929151832,0.6319307416053248,3.1336983450239204,0.03410155284971968,0.5813322623923523
44,0.0018078415935999998,1.0,9.1352871712,3.533167225385473,0.06887327086660419,0.6160583005915856,3.7042801796010862,0.0683612818467745,0.633019313569084
45,0.0018078415935999998,1.0,9.1352871712,3.2269545810548856,0.06018228822274598,0.5881460352477044,3.540904271669266,0.022711676334972567,0.6208646492109227
46,0.0017716847617279998,1.0,8.972581427776,3.1447241102118335,0.0926183681783979,0.5843680617896384,2.770675237108705,0.02621937410305689,0.5527464777931677
47,0.0017716847617279998,1.0,8.972581427776,3.029558203960209,0.06147294535424276,0.575016714673845,2.5900683955701296,0.02460454771311739,0.5329068626097093
48,0.0017716847617279998,1.0,8.972581427776,3.201991321149267,0.14502669637962343,0.5828460230170547,2.3434030145026954,0.06517723245948481,0.5069221549552407
49,0.0017716847617279998,1.0,8.972581427776,2.8341957167328813,0.07652467675132088,0.5546694238164581,2.515952575206728,0.06892160585235764,0.5268234094150591
50,0.0017716847617279998,1.0,8.972581427776,2.513897806998403,0.0564982040372246,0.5241819652459229,2.2474842172676213,0.040578289914231694,0.49718267484908585
51,0.0017716847617279998,1.0,8.972581427776,2.2922458596249613,0.05728660073375912,0.5004643897434399,2.0735420142989716,0.12459327838948704,0.47552418303174904
52,0.0017716847617279998,1.0,8.972581427776,2.3842643580168086,0.07835725396333468,0.5097711553107935,2.8704426795403206,0.06162551172736466,0.5593862097782607
53,0.00173625106649344,1.0,8.813129799220478,2.542837226992252,0.061588872947429756,0.5279703862004985,2.2347588043300575,0.0465478005213795,0.4982261696265097
54,0.00173625106649344,1.0,8.813129799220478,2.434017679102372,0.05477778849498509,0.5208046643663027,2.170614521882011,0.01936797109722544,0.49163994902546326
55,0.00173625106649344,1.0,8.813129799220478,2.5664750085853956,0.04915953803497266,0.5327648946047865,2.541213145931117,0.0742759678627091,0.5340766203489048
56,0.00173625106649344,1.0,8.813129799220478,2.4586977868367663,0.051388679901315924,0.5226187760387865,2.3149868116428864,0.07535844458587138,0.5087515613801618
57,0.00173625106649344,1.0,8.813129799220478,2.3194992955392255,0.05126302995294986,0.5076126294243786,2.106824022361226,0.024773171020651,0.4866466669415248
58,0.00173625106649344,1.0,8.813129799220478,2.21074013755411,0.05474802927498513,0.4950120976133756,1.8067580578638056,0.129449614187956,0.44688773298359213
59,0.00173625106649344,1.0,8.813129799220478,2.2127404845608827,0.06935857833351726,0.49378826705394685,1.7962900630612666,0.017232797425031067,0.4480558074777862
60,0.00173625106649344,1.0,8.813129799220478,1.7575265948232757,0.06617729804866922,0.4423655073448261,1.5313995889487955,0.1121073036685261,0.4126979133209302
61,0.001701526045163571,1.0,8.65686720323607,1.6608104276607356,0.06677666041589142,0.4330740653008895,1.274435876349911,0.05470344827737038,0.38061938335064327
62,0.001701526045163571,1.0,8.65686720323607,1.540427627353897,0.05061465467221718,0.41813124618760567,1.6046451591318345,0.11801811870748768,0.4262673717860877
63,0.001701526045163571,1.0,8.65686720323607,1.4982844370220918,0.05989378943758906,0.4111912101905439,1.258252461598611,0.029362010968532117,0.3786713453337861
64,0.001701526045163571,1.0,8.65686720323607,1.4235745268675737,0.047870229504504785,0.4017099038368431,1.3456131253660442,0.01048510307517965,0.392290448126021
65,0.001701526045163571,1.0,8.65686720323607,1.3913687424828052,0.05450820479106132,0.39721049937138525,1.2944706783694124,0.0428382097493583,0.3838909866697175
66,0.001701526045163571,1.0,8.65686720323607,1.503497828124176,0.05554907090278178,0.4112309018985363,2.2464659114569896,0.035719885441122964,0.5081002816663802
67,0.001701526045163571,1.0,8.65686720323607,3.704348324186891,0.15241572798933867,0.6003654416932104,1.9348534335837329,0.017220339953714817,0.47064883566047305
68,0.0016674955242602996,1.0,8.503729859171347,33624.38222812802,7.100625775594417,5.433978368543994,38663.872641540656,196.58762474466926,1.406125015786361
69,0.0016674955242602996,1.0,8.503729859171347,12746.945881744037,82.28423302167063,4.880006394365578,112.24081747615882,10.164995365274999,1.017796856668753
70,0.0016674955242602996,1.0,8.503729859171347,34.648512016753095,4.316342848835838,1.0549590349590519,10.213126619831566,1.218989645758247,1.0076750647705688
71,0.0016674955242602996,1.0,8.503729859171347,9.657060527271394,0.4869952798388827,1.0395044382528953,8.599863670507409,0.13548736731019428,0.9968405831744707
72,0.0016674955242602996,1.0,8.503729859171347,9.126854825366493,0.0747618152913528,1.0284727415671038,8.430865826532958,0.05668186416844352,0.9908877232051296
73,0.0016674955242602996,1.0,8.503729859171347,8.90258510463246,0.05338101735171624,1.0152181742463353,8.273051704134241,0.05804651710181802,0.9822146244357968
